条目ID,登记名称,目录名称,目录状态,卷,部,目录分类,条目类型,研究深度,登记状态,证据截止日,Jev实际模型,Jev推理版本,Jev示例版本,运行时间UTC,摘要SHA256,Mapping文件,Jev原始结果文件,四气选择,四气选择置信度,四气_寒_概率,四气_凉_概率,四气_平_概率,四气_温_概率,四气_热_概率,五味_酸_Noul得分,五味_苦_Noul得分,五味_甘_Noul得分,五味_辛_Noul得分,五味_咸_Noul得分,归经_心经_Noul得分,归经_肝经_Noul得分,归经_脾经_Noul得分,归经_肺经_Noul得分,归经_肾经_Noul得分,心经_主方向选择,心经_方向选择置信度,心经_阴-_概率,心经_阴+_概率,心经_阳-_概率,心经_阳+_概率,肝经_主方向选择,肝经_方向选择置信度,肝经_阴-_概率,肝经_阴+_概率,肝经_阳-_概率,肝经_阳+_概率,脾经_主方向选择,脾经_方向选择置信度,脾经_阴-_概率,脾经_阴+_概率,脾经_阳-_概率,脾经_阳+_概率,肺经_主方向选择,肺经_方向选择置信度,肺经_阴-_概率,肺经_阴+_概率,肺经_阳-_概率,肺经_阳+_概率,肾经_主方向选择,肾经_方向选择置信度,肾经_阴-_概率,肾经_阴+_概率,肾经_阳-_概率,肾经_阳+_概率
steviol-glycosides,甜菊糖苷,甜菊糖苷,正式目录,卷九,调味与甜味料部,甜味与代糖,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:14:30.243843+00:00,87e50a7ebe8efd7de78aaabb7e6255f996c008aa25303130147fbb143025a63e,references/entries/steviol-glycosides/mapping.md,qa/jev-entry-batches/30-seasonings-sweeteners/raw/steviol-glycosides.json,平,1,0,0,1,0,0,0.04,0.04,0.46,0.04,0.04,0.04,0.04,0.06,0.04,0.05,阳-,0.2,0.23,0.22,0.4,0.15,阳-,0.32,0.38,0.05,0.49,0.08,阴-,0.19,0.39,0.23,0.05,0.33,阴-,0.16,0.37,0.26,0.3,0.07,阴-,0.35,0.51,0.18,0.19,0.12
allulose,阿洛酮糖,阿洛酮糖,正式目录,卷九,调味与甜味料部,甜味与代糖,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:14:30.636049+00:00,da8af65b91b575751adedc3fbfe752ad2aa9b586e7871cf7a48b84287c0d3c1e,references/entries/allulose/mapping.md,qa/jev-entry-batches/30-seasonings-sweeteners/raw/allulose.json,平,0.99,0,0,1,0,0,0.04,0.04,0.34,0.04,0.04,0.04,0.04,0.13,0.04,0.05,阳-,0.29,0.27,0.09,0.47,0.17,阴-,0.26,0.45,0.05,0.43,0.07,阴-,0.56,0.66,0.07,0.07,0.2,阴-,0.24,0.43,0.19,0.28,0.1,阴-,0.44,0.58,0.1,0.23,0.09
sucralose,三氯蔗糖食品,三氯蔗糖食品,正式目录,卷九,调味与甜味料部,甜味与代糖,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:14:31.050271+00:00,105c318ff6d22c3e237239d5a11369e4e5abd29a7904b1d5063f338295cc0f5f,references/entries/sucralose/mapping.md,qa/jev-entry-batches/30-seasonings-sweeteners/raw/sucralose.json,平,1,0,0,1,0,0,0.04,0.04,0.43,0.04,0.04,0.04,0.04,0.07,0.04,0.04,阳-,0.27,0.24,0.12,0.45,0.19,阳-,0.37,0.36,0.04,0.53,0.07,阴-,0.27,0.46,0.15,0.12,0.27,阴-,0.22,0.42,0.16,0.33,0.09,阴-,0.39,0.54,0.13,0.21,0.12
whey-protein-powder,乳清蛋白粉,乳清蛋白粉,正式目录,卷十,营养补充与机能食品部,蛋白与代餐,supplement,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T07:09:11.665143+00:00,9f266b759ae61dc051006086364c896912bbb90fafb5ad331ee3fde7cf12cafd,references/entries/whey-protein-powder/mapping.md,qa/jev-ten-batch/raw/whey-protein-powder.json,平,1,0,0,1,0,0,0.06,0.05,0.27,0.05,0.06,0.05,0.05,0.15,0.06,0.08,阳+,0.31,0.09,0.36,0.06,0.49,阳+,0.18,0.23,0.28,0.1,0.39,阳+,0.65,0.06,0.19,0.01,0.74,阴+,0.45,0.16,0.59,0.04,0.21,阴+,0.47,0.11,0.6,0.02,0.27
casein-protein-powder,酪蛋白粉,酪蛋白粉,正式目录,卷十,营养补充与机能食品部,蛋白与代餐,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:22:37.053444+00:00,35b6d169693e6738bfc398662dbeb765ad8fb68109c73ab2bf1c3f6cee2686d1,references/entries/casein-protein-powder/mapping.md,qa/jev-entry-batches/31-nutrition-supplements/raw/casein-protein-powder.json,平,1,0,0,1,0,0,0.07,0.04,0.27,0.05,0.07,0.05,0.05,0.17,0.05,0.09,阴+,0.24,0.1,0.43,0.07,0.4,阴+,0.1,0.27,0.33,0.12,0.28,阳+,0.59,0.07,0.23,0.01,0.69,阴+,0.45,0.21,0.59,0.04,0.16,阴+,0.53,0.19,0.65,0.03,0.13
plant-protein-powder,植物蛋白粉,植物蛋白粉,正式目录,卷十,营养补充与机能食品部,蛋白与代餐,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:22:37.297423+00:00,d87bad1f144fc4d3a79cc88f46cb2d27dcb62ec0219176fcf0424b40de99d06b,references/entries/plant-protein-powder/mapping.md,qa/jev-entry-batches/31-nutrition-supplements/raw/plant-protein-powder.json,平,1,0,0,1,0,0,0.05,0.05,0.22,0.05,0.06,0.05,0.05,0.17,0.06,0.07,阳+,0.3,0.12,0.32,0.08,0.48,阴-,0.12,0.34,0.24,0.16,0.26,阳+,0.78,0.07,0.09,0,0.84,阴+,0.2,0.26,0.41000000000000003,0.04,0.29,阴+,0.38,0.29,0.53,0.03,0.15
protein-shake,蛋白奶昔,蛋白奶昔,正式目录,卷十,营养补充与机能食品部,蛋白与代餐,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:22:37.531591+00:00,34e5358be44c8ceb2a331dd4ed210d28f9454536b266c792f31ee4fce918319e,references/entries/protein-shake/mapping.md,qa/jev-entry-batches/31-nutrition-supplements/raw/protein-shake.json,平,1,0,0,1,0,0,0.04,0.04,0.24,0.04,0.05,0.05,0.04,0.14,0.05,0.08,阳+,0.36,0.11,0.28,0.09,0.52,阳+,0.11,0.32,0.15,0.2,0.33,阳+,0.76,0.08,0.09,0.01,0.82,阴+,0.22,0.28,0.41,0.08,0.23,阴+,0.25,0.26,0.44,0.03,0.27
meal-replacement-shake,代餐奶昔,代餐奶昔,正式目录,卷十,营养补充与机能食品部,蛋白与代餐,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:22:37.799763+00:00,f641600258aa9d626956ea2b54bbdb2fc243d8f3a7bbf4457824fb67a4865e75,references/entries/meal-replacement-shake/mapping.md,qa/jev-entry-batches/31-nutrition-supplements/raw/meal-replacement-shake.json,平,1,0,0,1,0,0,0.05,0.04,0.16,0.04,0.04,0.04,0.04,0.12,0.04,0.05,阴-,0.06,0.3,0.13,0.27,0.3,阴-,0.34,0.51,0.04,0.3,0.15,阳+,0.34,0.43,0.04,0.02,0.51,阴-,0.23,0.42,0.28,0.15,0.15,阴-,0.51,0.63,0.14,0.07,0.16
meal-replacement-bar,代餐棒,代餐棒,正式目录,卷十,营养补充与机能食品部,蛋白与代餐,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:22:38.052751+00:00,9368563215d4353bedd5773a9b1c2c882ba5ae5c48d0dd9794a666e45bad6b5d,references/entries/meal-replacement-bar/mapping.md,qa/jev-entry-batches/31-nutrition-supplements/raw/meal-replacement-bar.json,平,1,0,0,1,0,0,0.04,0.04,0.14,0.04,0.04,0.04,0.04,0.12,0.04,0.04,阳+,0.14,0.24,0.06,0.35,0.35,阳-,0.25,0.39,0.03,0.43,0.15,阳+,0.48,0.33,0.04,0.02,0.61,阴-,0.26,0.45,0.18,0.18,0.19,阴-,0.42,0.57,0.1,0.12,0.21
high-protein-pudding,高蛋白布丁,高蛋白布丁,正式目录,卷十,营养补充与机能食品部,蛋白与代餐,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:22:38.333488+00:00,7f5f5b3d500cb5e663022259c96b4d7700b088c4533ae7641754e9a8a850c87d,references/entries/high-protein-pudding/mapping.md,qa/jev-entry-batches/31-nutrition-supplements/raw/high-protein-pudding.json,平,1,0,0,1,0,0,0.04,0.03,0.22,0.04,0.05,0.04,0.04,0.08,0.04,0.05,阳+,0.28,0.15,0.27,0.12,0.46,阴-,0.14,0.36,0.11,0.3,0.23,阳+,0.6,0.14,0.15,0.02,0.69,阴+,0.15,0.36,0.37,0.09,0.18,阴+,0.36,0.26,0.52,0.04,0.18
high-protein-ice-cream,高蛋白冰淇淋,高蛋白冰淇淋,正式目录,卷十,营养补充与机能食品部,蛋白与代餐,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:22:38.600067+00:00,135402f209f7d7e4650f9a3b028585af9eae93c29dcc11a4517b98b50f549b77,references/entries/high-protein-ice-cream/mapping.md,qa/jev-entry-batches/31-nutrition-supplements/raw/high-protein-ice-cream.json,平,0.92,0.05,0.01,0.94,0,0,0.04,0.04,0.26,0.04,0.05,0.04,0.04,0.1,0.04,0.05,阳+,0.22,0.16,0.32,0.11,0.41,阴-,0.21,0.41,0.13,0.27,0.19,阳+,0.54,0.2,0.13,0.01,0.66,阴+,0.25,0.3,0.45,0.09,0.16,阴+,0.45,0.23,0.58,0.04,0.15
dietary-fiber-powder,膳食纤维粉,膳食纤维粉,正式目录,卷十,营养补充与机能食品部,纤维与益生相关,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:22:38.832051+00:00,eb79978afa54de470fad68ddd79467e13f6870bdd86a5b287de106f1c89ba8a6,references/entries/dietary-fiber-powder/mapping.md,qa/jev-entry-batches/31-nutrition-supplements/raw/dietary-fiber-powder.json,平,0.99,0,0.01,0.99,0,0,0.07,0.06,0.17,0.06,0.12,0.04,0.05,0.3,0.18,0.07,阴-,0.3,0.47,0.1,0.27,0.16,阴-,0.54,0.65,0.07,0.22,0.06,阴-,0.76,0.82,0.04,0,0.14,阴-,0.6,0.7,0.22,0.03,0.05,阴-,0.62,0.72,0.22,0.02,0.04
inulin-food,菊粉食品,菊粉食品,正式目录,卷十,营养补充与机能食品部,纤维与益生相关,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:22:39.089748+00:00,4bc969961b6224983ff5f17d428ff3b85eec9b337434008d51398e2d6b7221b3,references/entries/inulin-food/mapping.md,qa/jev-entry-batches/31-nutrition-supplements/raw/inulin-food.json,平,0.99,0,0.01,0.99,0,0,0.08,0.06,0.24,0.06,0.12,0.04,0.06,0.39,0.21,0.07,阴-,0.29,0.45999999999999996,0.14,0.22,0.18,阴-,0.48,0.6,0.07,0.25,0.08,阴-,0.6,0.7,0.06,0,0.24,阴-,0.68,0.76,0.13,0.05,0.06,阴-,0.65,0.74,0.17,0.03,0.06
resistant-dextrin-drink,抗性糊精饮料,抗性糊精饮料,正式目录,卷十,营养补充与机能食品部,纤维与益生相关,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:22:39.352053+00:00,92d3147443271a6e9ff64e11d09f9fc9b89cb0b4f9e39a2dde19b835b0f91349,references/entries/resistant-dextrin-drink/mapping.md,qa/jev-entry-batches/31-nutrition-supplements/raw/resistant-dextrin-drink.json,平,1,0,0,1,0,0,0.06,0.05,0.17,0.05,0.04,0.04,0.04,0.2,0.06,0.05,阴-,0.22,0.42,0.09,0.27,0.22,阴-,0.53,0.65,0.04,0.21,0.1,阴-,0.6,0.7,0.06,0,0.24,阴-,0.41,0.56,0.23,0.11,0.1,阴-,0.67,0.75,0.13,0.04,0.08
probiotic-beverage,益生菌饮料,益生菌饮料,正式目录,卷十,营养补充与机能食品部,纤维与益生相关,beverage,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:34:03.200249+00:00,70cb348bbfe628bbf8723d92961232dba3a082b3534e1f50508dae986e75711a,references/entries/probiotic-beverage/mapping.md,qa/jev-entry-batches/32-microbiome-sports-nutrition/raw/probiotic-beverage.json,平,1,0,0,1,0,0,0.09,0.04,0.12,0.05,0.04,0.04,0.04,0.1,0.04,0.05,阳-,0.15,0.29,0.08,0.36,0.27,阴-,0.3,0.47,0.04,0.38,0.11,阳+,0.38,0.41,0.03,0.02,0.54,阴-,0.26,0.44,0.16,0.26,0.14,阴-,0.39,0.54,0.21,0.11,0.14
prebiotic-food,益生元食品,益生元食品,正式目录,卷十,营养补充与机能食品部,纤维与益生相关,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:34:03.396008+00:00,d5e6814a6f776675ecf7395b82118b2d9719f4f36f5ea74ba662eb1972e7b051,references/entries/prebiotic-food/mapping.md,qa/jev-entry-batches/32-microbiome-sports-nutrition/raw/prebiotic-food.json,平,1,0,0,1,0,0,0.06,0.05,0.16,0.05,0.05,0.04,0.05,0.24,0.06,0.05,阳-,0.16,0.35,0.07,0.37,0.21,阴-,0.36,0.52,0.03,0.35,0.1,阴-,0.45,0.59,0.04,0.01,0.36,阴-,0.42,0.56,0.15,0.2,0.09,阴-,0.59,0.7,0.12,0.08,0.1
synbiotic-food,合生元食品,合生元食品,正式目录,卷十,营养补充与机能食品部,纤维与益生相关,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:34:03.576576+00:00,2f1f533b3741bd67eff4728927b47feebca3a94d214b1ad9bbcc1f97c8d8d56c,references/entries/synbiotic-food/mapping.md,qa/jev-entry-batches/32-microbiome-sports-nutrition/raw/synbiotic-food.json,平,1,0,0,1,0,0,0.07,0.05,0.1,0.05,0.05,0.04,0.05,0.14,0.05,0.05,阳-,0.25,0.25,0.08,0.43,0.24,阴-,0.26,0.45,0.03,0.39,0.13,阳+,0.34,0.45,0.03,0.01,0.51,阴-,0.23,0.43,0.16,0.28,0.13,阴-,0.41,0.56,0.15,0.09,0.2
energy-gel,能量胶,能量胶,正式目录,卷十,营养补充与机能食品部,运动营养,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:34:03.731044+00:00,1182248293f85adf3f23f9f170fb7959925d1ed3f732a68acedce1fc3405002c,references/entries/energy-gel/mapping.md,qa/jev-entry-batches/32-microbiome-sports-nutrition/raw/energy-gel.json,平,0.99,0,0,0.99,0.01,0,0.04,0.04,0.54,0.06,0.08,0.06,0.04,0.16,0.04,0.05,阳+,0.67,0.06,0.04,0.15,0.75,阳+,0.16,0.31,0.03,0.3,0.36,阳+,0.67,0.19,0.05,0.01,0.75,阳+,0.15,0.31,0.21,0.12,0.36,阴-,0.22,0.41,0.11,0.08,0.4
sports-energy-bar,能量棒,能量棒,正式目录,卷十,营养补充与机能食品部,运动营养,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:34:03.916283+00:00,a9f6523243c064b4a0ecaf40cc5c59980699ee8f619ec85bfdf7d9565b978139,references/entries/sports-energy-bar/mapping.md,qa/jev-entry-batches/32-microbiome-sports-nutrition/raw/sports-energy-bar.json,平,1,0,0,1,0,0,0.05,0.04,0.21,0.04,0.04,0.04,0.04,0.11,0.04,0.04,阳+,0.35,0.19,0.04,0.26,0.51,阳-,0.21,0.35,0.02,0.41,0.22,阳+,0.39,0.38,0.03,0.05,0.54,阴-,0.25,0.44,0.1,0.23,0.23,阴-,0.22,0.41,0.08,0.16,0.35
sports-gummy,运动软糖,运动软糖,正式目录,卷十,营养补充与机能食品部,运动营养,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:34:04.102725+00:00,b65b16969e2a667298f0cd8cd5128dcf9861d9d23934c0d63999dc685a306998,references/entries/sports-gummy/mapping.md,qa/jev-entry-batches/32-microbiome-sports-nutrition/raw/sports-gummy.json,平,1,0,0,1,0,0,0.04,0.04,0.52,0.05,0.08,0.05,0.04,0.13,0.04,0.04,阳+,0.42,0.17,0.06,0.2,0.57,阴-,0.12,0.34,0.03,0.32,0.31,阳+,0.48,0.29,0.07,0.02,0.62,阴-,0.22,0.41,0.2,0.13,0.26,阴-,0.26,0.44,0.15,0.1,0.31
creatine-drink,肌酸饮品,肌酸饮品,正式目录,卷十,营养补充与机能食品部,运动营养,beverage,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:34:04.278986+00:00,354bb898c9585ffca0fdf3a638b7b9ea17b277ad56a9795f98c57d6160e93233,references/entries/creatine-drink/mapping.md,qa/jev-entry-batches/32-microbiome-sports-nutrition/raw/creatine-drink.json,平,1,0,0,1,0,0,0.05,0.04,0.12,0.05,0.07,0.05,0.05,0.06,0.04,0.08,阳+,0.45,0.12,0.06,0.24,0.58,阳+,0.18,0.27,0.03,0.32,0.38,阳+,0.57,0.24,0.04,0.04,0.68,阴-,0.18,0.39,0.13,0.23,0.25,阳+,0.25,0.36,0.13,0.07,0.44
electrolyte-tablet-drink,电解质片饮料,电解质片饮料,正式目录,卷十,营养补充与机能食品部,运动营养,beverage,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:34:04.458007+00:00,32d1ed10efc4d590a9819625c061954a7c42deb2498aa41f724e392fdd2cf563,references/entries/electrolyte-tablet-drink/mapping.md,qa/jev-entry-batches/32-microbiome-sports-nutrition/raw/electrolyte-tablet-drink.json,平,1,0,0,1,0,0,0.05,0.04,0.17,0.06,0.31,0.07,0.04,0.08,0.05,0.12,阴+,0.13,0.27,0.35,0.18,0.2,阴-,0.35,0.52,0.08,0.31,0.09,阴-,0.26,0.45,0.27,0.02,0.26,阴+,0.39,0.32,0.54,0.09,0.05,阴-,0.38,0.54,0.39,0.02,0.05
bcaa-drink,支链氨基酸饮料,支链氨基酸饮料,正式目录,卷十,营养补充与机能食品部,运动营养,beverage,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:34:04.672736+00:00,f232f9f803945908d3609f23305932d9b2334c750891db8309eee1e08b888768,references/entries/bcaa-drink/mapping.md,qa/jev-entry-batches/32-microbiome-sports-nutrition/raw/bcaa-drink.json,平,1,0,0,1,0,0,0.05,0.05,0.16,0.05,0.06,0.04,0.06,0.08,0.04,0.07,阳+,0.25,0.19,0.11,0.27,0.43,阳+,0.12,0.32,0.08,0.27,0.33,阳+,0.5,0.23,0.1,0.04,0.63,阴-,0.14,0.36,0.15,0.32,0.17,阴-,0.21,0.41000000000000003,0.21,0.15,0.23
collagen-drink,胶原蛋白饮,胶原蛋白饮,正式目录,卷十,营养补充与机能食品部,美容与功能概念食品,beverage,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:34:04.854591+00:00,d50ba250068c81ac42ea331253bfe409959c797db57047b0a53e65ec7de28144,references/entries/collagen-drink/mapping.md,qa/jev-entry-batches/32-microbiome-sports-nutrition/raw/collagen-drink.json,平,1,0,0,1,0,0,0.06,0.04,0.26,0.05,0.05,0.05,0.05,0.11,0.07,0.09,阴+,0.47,0.15,0.6,0.1,0.15,阴+,0.48,0.19,0.61,0.13,0.07,阴+,0.35,0.11,0.52,0.02,0.35,阴+,0.73,0.14,0.8,0.03,0.03,阴+,0.81,0.09,0.86,0.02,0.03
hyaluronic-acid-food,玻尿酸食品,玻尿酸食品,正式目录,卷十,营养补充与机能食品部,美容与功能概念食品,supplement,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:48:12.849883+00:00,5559640acc6b367cd82d20b6a2d1977a00e530469361722aefde6c4b3f2a0abd,references/entries/hyaluronic-acid-food/mapping.md,qa/jev-entry-batches/33-beauty-and-plant-foods/raw/hyaluronic-acid-food.json,平,1,0,0,1,0,0,0.07,0.04,0.13,0.05,0.07,0.04,0.05,0.06,0.07,0.07,阴+,0.71,0.1,0.78,0.08,0.04,阴+,0.51,0.24,0.63,0.1,0.03,阴+,0.66,0.15,0.75,0.02,0.08,阴+,0.89,0.06,0.91,0.02,0.01,阴+,0.87,0.08,0.9,0.01,0.01
gaba-food,GABA食品,GABA食品,正式目录,卷十,营养补充与机能食品部,美容与功能概念食品,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:48:12.977962+00:00,0453f298891a2d68208ca4ca4b37db88d74234008d1faca4f72a0dd0bba126d4,references/entries/gaba-food/mapping.md,qa/jev-entry-batches/33-beauty-and-plant-foods/raw/gaba-food.json,平,1,0,0,1,0,0,0.06,0.05,0.09,0.05,0.05,0.13,0.06,0.05,0.05,0.05,阳-,0.72,0.07,0.09,0.79,0.05,阳-,0.72,0.16,0.03,0.78,0.03,阳+,0.19,0.38,0.08,0.15,0.39,阳-,0.41,0.26,0.12,0.56,0.06,阳-,0.18,0.36,0.16,0.38,0.1
melatonin-gummy,褪黑素软糖,褪黑素软糖,正式目录,卷十,营养补充与机能食品部,美容与功能概念食品,supplement,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:48:13.133236+00:00,b0e549cc8f17277725e274f7959367444a3c24480cc817cded108ea17899039b,references/entries/melatonin-gummy/mapping.md,qa/jev-entry-batches/33-beauty-and-plant-foods/raw/melatonin-gummy.json,平,1,0,0,1,0,0,0.05,0.04,0.11,0.04,0.04,0.1,0.05,0.04,0.04,0.06,阳-,0.4,0.11,0.24,0.55,0.1,阳-,0.46,0.26,0.09,0.6,0.05,阴-,0.14,0.36,0.09,0.2,0.35,阳-,0.29,0.28,0.19,0.47,0.06,阴+,0.19,0.25,0.4,0.22,0.13
vitamin-gummy,维生素软糖,维生素软糖,正式目录,卷十,营养补充与机能食品部,美容与功能概念食品,supplement,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:48:13.265826+00:00,10a6df400a1ed2c82803589e75ee441eca0b390089574f4e35e663651deeb90d,references/entries/vitamin-gummy/mapping.md,qa/jev-entry-batches/33-beauty-and-plant-foods/raw/vitamin-gummy.json,平,1,0,0,1,0,0,0.05,0.04,0.22,0.04,0.04,0.04,0.04,0.06,0.04,0.04,阳+,0.07,0.17,0.24,0.29,0.3,阴-,0.2,0.39,0.17,0.34,0.1,阳+,0.35,0.26,0.18,0.04,0.52,阴+,0.21,0.31,0.41000000000000003,0.2,0.08,阴+,0.22,0.38,0.41,0.07,0.14
lutein-gummy,叶黄素软糖,叶黄素软糖,正式目录,卷十,营养补充与机能食品部,美容与功能概念食品,supplement,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:48:13.433490+00:00,ea0b12336b1a2eb637e718589faea2c50be13b84882f004abf754a5b87bdcbde,references/entries/lutein-gummy/mapping.md,qa/jev-entry-batches/33-beauty-and-plant-foods/raw/lutein-gummy.json,平,1,0,0,1,0,0,0.05,0.05,0.19,0.05,0.05,0.05,0.21,0.06,0.06,0.08,阳-,0.14,0.26,0.26,0.36,0.12,阴+,0.3,0.18,0.48,0.32,0.02,阳+,0.17,0.32,0.25,0.05,0.38,阴+,0.23,0.25,0.43,0.28,0.04,阴+,0.43,0.28,0.57,0.11,0.04
plant-based-meat,植物肉,植物肉,正式目录,卷十一,替代与新技术食品部,植物替代,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:48:13.590131+00:00,57b5cc867b00c64bddb2f9d3173373425943902b8379ab449646641824bbe0e2,references/entries/plant-based-meat/mapping.md,qa/jev-entry-batches/33-beauty-and-plant-foods/raw/plant-based-meat.json,平,1,0,0,1,0,0,0.04,0.04,0.09,0.05,0.08,0.05,0.05,0.07,0.04,0.04,阳-,0.41,0.24,0.05,0.55,0.16,阳-,0.38,0.38,0.03,0.53,0.06,阳+,0.36,0.38,0.06,0.05,0.51,阴-,0.23,0.41,0.15,0.35,0.09,阴-,0.44,0.58,0.11,0.19,0.12
plant-based-chicken-nuggets,植物鸡块,植物鸡块,正式目录,卷十一,替代与新技术食品部,植物替代,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T08:48:13.718584+00:00,db8f6b62d14efd26ad92dfd1546cecad3f679c0123fdefaee8cae57ac7a155e9,references/entries/plant-based-chicken-nuggets/mapping.md,qa/jev-entry-batches/33-beauty-and-plant-foods/raw/plant-based-chicken-nuggets.json,平,1,0,0,1,0,0,0.04,0.04,0.08,0.05,0.06,0.03,0.04,0.06,0.04,0.03,阳-,0.2,0.27,0.04,0.4,0.29,阳-,0.29,0.41,0.02,0.47,0.1,阳+,0.38,0.39,0.03,0.04,0.54,阴-,0.28,0.46,0.1,0.32,0.12,阴-,0.44,0.58,0.1,0.15,0.17
